Activity Type,Date,Favorite,Title,Race,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Training Stress ScoreÂ®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,9/29/2013 7:16,FALSE,Half Moon Bay Marathon,1,26.52,"2,220",4:40:20,--,--,10:34,6:25,"1,133","1,217",0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/27/2014 6:04,FALSE,San Francisco Marathon 2014,1,26.43,"2,167",4:06:56,--,--,9:21,5:53,"1,518","1,514",0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/8/2017 7:12,FALSE,Portland Marathon 2017,1,26.42,"2,079",3:58:04,188,201,9:01,6:25,588,591,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,1/11/2015 6:01,FALSE,Disney World Marathon,1,26.42,"2,164",4:18:47,--,--,9:48,5:30,71,68,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/4/2016 7:02,FALSE,California International Marathon 2016,1,26.34,"2,041",3:55:14,188,204,8:56,4:10,327,663,0.96,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/4/2015 7:05,FALSE,Portland Marathon,1,26.19,"2,136",3:59:52,186,199,9:10,5:48,702,692,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/13/2015 7:09,FALSE,Seattle Rock and Roll Marathon,1,25.46,"2,064",4:10:35,151,201,9:51,5:45,651,584,1.08,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/31/2013 6:49,FALSE,Saturday morning long run,,21.37,"1,844",3:46:43,--,--,10:37,5:40,226,225,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/29/2016 7:50,FALSE,Berkeley Running,,20.6,"1,595",3:29:25,175,243,10:10,7:16,543,704,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/21/2014 7:51,FALSE,Berkeley Running,,20.32,"1,657",3:21:32,--,--,9:55,5:59,747,813,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/17/2013 7:01,FALSE,Saturday morning long run,,20.21,"1,784",3:27:06,--,--,10:15,0:55,709,863,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/12/2016 7:52,FALSE,Berkeley Running,,20.18,"1,562",3:23:56,174,243,10:06,6:24,486,709,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/12/2015 6:08,FALSE,Berkeley Running,,20.13,"1,649",3:21:45,179,197,10:01,6:14,269,271,0.9,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/15/2015 6:14,FALSE,Berkeley Running,,20.05,"1,640",3:16:39,--,--,9:48,6:59,707,770,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/5/2014 7:41,FALSE,Untitled,,20.05,"1,633",3:08:28,--,--,9:24,6:57,646,751,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/17/2017 7:19,FALSE,Oakland Running,,20.03,"1,560",3:39:09,164,199,10:57,5:42,603,722,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/2/2015 7:23,FALSE,Berkeley Running,,19.16,"1,575",3:12:40,--,--,10:03,6:33,765,819,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/7/2014 7:41,FALSE,Untitled,,19.14,"1,568",3:09:57,--,--,9:55,6:05,755,831,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/29/2015 7:10,FALSE,Berkeley Running,,19.08,"1,560",3:25:07,171,195,10:45,7:13,802,928,0.88,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Street Running,8/3/2013 5:43,FALSE,Saturday morning long run,,18.48,"1,617",3:04:23,--,--,9:59,2:39,466,791,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/25/2015 8:00,FALSE,Berkeley Running,,18.22,"1,422",3:00:00,--,--,9:53,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/23/2014 7:56,FALSE,Untitled,,18.22,"1,492",3:00:01,--,--,9:53,7:04,678,782,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/7/2014 7:29,FALSE,Untitled,,18.18,"1,477",2:58:02,--,--,9:47,7:06,773,865,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/15/2015 7:19,FALSE,Berkeley Running,,18.07,"1,474",3:17:14,170,195,10:55,6:51,658,761,0.87,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/19/2017 7:40,FALSE,Oakland Running,,18.06,"1,416",3:02:36,174,242,10:07,6:09,577,638,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/22/2016 7:31,FALSE,Berkeley Running,,18.03,"1,397",3:04:38,175,197,10:14,6:36,748,785,0.9,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/18/2015 7:43,FALSE,Berkeley Running,,17.3,"1,407",2:48:00,--,--,9:43,5:09,580,696,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/8/2015 7:27,FALSE,Berkeley Running,,17.29,"1,406",2:56:33,176,197,10:13,7:03,627,747,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/9/2014 6:59,FALSE,Untitled,,17.22,"1,397",2:44:31,--,--,9:33,7:08,543,711,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/31/2014 7:44,FALSE,Untitled,,17.2,"1,402",2:45:17,--,--,9:36,6:13,630,675,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/12/2017 7:39,FALSE,Oakland Running,,17.06,"1,338",3:02:25,168,197,10:42,5:59,711,718,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/15/2016 8:16,FALSE,Berkeley Running,,16.67,"1,302",2:44:03,179,195,9:50,6:01,525,700,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/6/2016 7:52,FALSE,Alameda Running,,16.47,"1,279",2:38:49,180,243,9:38,7:04,38,44,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Street Running,7/20/2013 5:55,FALSE,Untitled,,16.32,"1,416",2:41:03,--,--,9:52,2:44,610,495,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/1/2014 8:26,FALSE,Untitled,,16.13,"1,317",2:30:21,--,--,9:19,6:41,42,46,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/10/2013 7:04,FALSE,Saturday morning long run,,16.1,"1,424",2:41:33,--,--,10:02,4:06,584,548,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/1/2016 7:06,FALSE,Alameda Running,,16.01,"1,240",2:39:34,176,195,9:58,7:22,40,43,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/4/2015 7:28,FALSE,Berkeley Running,,15.72,"1,285",2:35:36,--,--,9:54,7:05,688,807,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/25/2015 7:18,FALSE,Berkeley Running,,15.35,"1,253",2:33:38,134,198,10:01,7:41,551,727,1.2,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/17/2014 6:41,FALSE,Untitled,,15.14,"1,241",2:29:45,--,--,9:54,6:39,505,682,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/29/2017 7:07,FALSE,Oakland Running,,15.09,"1,197",2:35:15,175,197,10:17,4:53,672,690,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/18/2015 7:10,FALSE,Berkeley Running,,14.42,"1,185",2:23:40,154,242,9:58,6:13,521,674,1.05,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/10/2014 6:43,FALSE,Untitled,,14.33,"1,171",2:16:31,--,--,9:32,7:00,626,690,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/20/2016 7:45,FALSE,Alameda Running,,14.05,"1,094",2:16:49,181,197,9:44,7:11,47,47,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/24/2016 6:57,FALSE,Alameda Running,,14.01,"1,098",2:24:06,172,245,10:17,7:00,40,47,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/24/2013 8:05,FALSE,Berkeley Half Marathon,1,13.28,"1,110",1:55:27,--,--,8:42,5:07,190,371,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/5/2019 7:17,FALSE,Pittsburgh Half Marathon,1,13.25,"1,049",1:59:38,188,199,9:02,1:36,442,445,0.95,0,0,--,0,0,0,0:00,0,0:00,No,02:01.6,14,0
Running,6/22/2014 8:01,FALSE,See Jane Run Half 2014,1,13.25,"1,081",1:56:00,--,--,8:45,6:02,15,31,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,1/10/2015 6:01,FALSE,Disney World Half Marathon,1,13.22,"1,082",2:02:40,--,--,9:17,4:19,7,3,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/9/2015 7:43,FALSE,Alameda Running,,13.21,"1,082",2:04:47,--,--,9:27,7:05,29,27,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,1/25/2014 9:32,FALSE,Untitled,,13.21,"1,136",2:03:16,--,--,9:20,5:48,181,173,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/11/2015 7:54,FALSE,Alameda Running,,13.2,"1,072",1:56:35,--,--,8:50,6:39,34,36,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/24/2013 6:42,FALSE,Saturday morning long run,,13.2,"1,155",2:12:20,--,--,10:01,5:38,138,157,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/27/2017 6:52,FALSE,Alameda Running,,13.18,"1,055",2:08:56,179,197,9:47,7:41,31,38,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/1/2016 8:46,FALSE,Avenue of the Giants Half Marathon,1,13.18,"1,079",1:56:07,187,199,8:49,6:32,768,781,0.98,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/15/2014 7:07,FALSE,Untitled,1,13.18,"1,074",1:57:52,--,--,8:56,7:06,188,199,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/5/2014 8:05,FALSE,San Jose Rock and Roll Half Marathon,1,13.14,"1,076",1:55:49,--,--,8:49,5:39,100,100,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/7/2013 8:53,FALSE,Untitled,,13.14,"1,108",2:06:42,--,--,9:39,7:01,198,197,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/19/2017 8:02,FALSE,Berkeley Running,,13.11,"1,032",1:56:01,189,201,8:51,7:13,487,507,0.96,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,14,0
Running,11/29/2014 9:53,FALSE,Untitled,,13.11,"1,075",2:13:52,--,--,10:12,7:39,692,763,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,2/16/2014 8:16,FALSE,Untitled,,13.11,"1,068",2:00:35,--,--,9:12,1:13,221,183,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/22/2015 7:22,FALSE,Alameda Running,,13.1,"1,071",2:07:01,183,195,9:42,6:36,36,43,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/16/2013 8:18,FALSE,Untitled,,13.1,"1,093",1:58:22,--,--,9:02,6:14,73,84,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/16/2013 10:00,FALSE,Half Marathon Personal Record,1,13.1,--,1:53:49,--,--,8:42,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/14/2013 7:09,FALSE,Untitled,,13.09,"1,136",2:17:25,--,--,10:30,6:05,127,145,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/20/2017 7:00,FALSE,Alameda Running,,13.08,"1,050",2:07:28,180,193,9:45,7:18,46,46,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/13/2014 7:23,FALSE,Untitled,,13.07,"1,066",1:54:28,--,--,8:45,6:55,32,32,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/14/2014 7:13,FALSE,Untitled,,13.07,"1,062",1:57:03,--,--,8:57,7:13,22,26,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/1/2014 7:31,FALSE,Untitled,,13.07,"1,065",2:09:31,--,--,9:54,7:28,118,131,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/12/2014 7:24,FALSE,Untitled,,13.06,"1,063",2:05:24,--,--,9:36,3:49,662,739,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/24/2014 8:07,FALSE,Danville Half,1,13.04,"1,068",1:55:32,--,--,8:52,6:52,239,245,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/25/2014 7:56,FALSE,Untitled,,13.01,"1,063",2:03:03,--,--,9:28,7:20,37,39,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/5/2017 7:05,FALSE,Alameda Running,,13,"1,023",2:00:02,183,197,9:14,6:42,23,23,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/22/2017 8:10,FALSE,Oakland Running,,13,"1,027",2:08:08,172,195,9:51,5:59,433,420,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/10/2017 7:12,FALSE,Kirkland Running,,12.76,998,2:13:20,164,245,10:27,7:09,298,315,0.94,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,13,0
Running,8/1/2015 7:45,FALSE,Alameda Running,,12.74,"1,045",2:07:14,180,194,9:59,7:40,18,18,0.9,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/14/2015 7:38,FALSE,Alameda Running,,12.67,"1,034",1:59:15,--,--,9:25,4:19,23,24,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,1/2/2016 8:25,FALSE,Alameda Running,,12.54,"1,033",2:07:44,180,195,10:11,6:37,24,24,0.88,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/8/2013 7:13,FALSE,Untitled,,12.52,"1,089",2:09:16,--,--,10:19,6:45,189,197,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,1/9/2016 8:59,FALSE,Alameda Running,,12.51,"1,024",2:01:56,177,246,9:45,7:08,17,23,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/17/2016 6:42,FALSE,Alameda Running,,12.47,985,1:59:25,178,195,9:35,7:00,9,17,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/3/2016 6:37,FALSE,Alameda Running,,12.44,"1,003",2:04:09,173,195,9:58,7:13,4,12,0.93,0,0,86,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/23/2017 6:33,FALSE,Alameda Running,,12.37,973,2:00:10,181,197,9:43,8:03,15,18,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/19/2015 6:34,FALSE,Alameda Running,,12.36,"1,006",2:00:49,177,197,9:46,6:50,16,23,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/9/2017 6:57,FALSE,Alameda Running,,12.35,964,1:55:27,181,202,9:21,6:32,14,20,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/23/2016 6:57,FALSE,Alameda Running,,12.3,"1,003",1:59:11,178,193,9:41,7:37,18,21,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/26/2015 8:34,FALSE,Alameda Running,,12.24,"1,004",1:59:52,178,197,9:47,7:44,30,32,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/8/2016 7:03,FALSE,Alameda Running,,12.22,944,2:02:09,174,244,10:00,7:18,18,18,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/5/2015 6:47,FALSE,Alameda Running,,12.21,"1,003",2:06:00,176,197,10:19,7:35,15,21,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/28/2014 7:57,FALSE,Untitled,,12.17,991,1:56:50,--,--,9:36,7:11,454,699,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/1/2017 6:47,FALSE,Alameda Running,,12.16,970,1:49:22,182,197,9:00,6:44,6,14,0.98,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/18/2016 7:46,FALSE,Berkeley Running,,12.16,992,2:06:03,175,194,10:22,7:30,695,759,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/27/2019 8:50,FALSE,Pittsburgh Running,,12.14,959,2:02:10,178,193,10:04,7:30,631,616,0.9,0,0,--,0,0,0,0:00,0,0:00,No,01:17.6,13,0
Running,5/29/2015 15:05,FALSE,treadmill running,,12.1,912,1:50:00,--,--,9:05,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/28/2015 7:46,FALSE,Alameda Running,,12.1,993,1:58:24,--,--,9:47,7:46,25,24,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/27/2014 9:14,FALSE,Alameda Running,,12.01,980,1:54:28,--,--,9:32,7:39,24,26,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/23/2015 4:36,FALSE,treadmill running ,,12,953,1:55:00,--,--,9:35,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/26/2014 13:21,FALSE,Untitled,,12,977,1:47:59,--,--,9:00,6:24,13,15,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/4/2016 8:00,FALSE,Berkeley Running,,11.85,890,2:00:00,--,--,10:08,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/11/2016 7:57,FALSE,Berkeley Running,,11.7,957,2:05:13,172,195,10:42,7:04,622,743,0.87,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/28/2016 8:07,FALSE,Berkeley Running,,11.55,945,2:03:53,169,193,10:43,6:53,642,746,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/15/2014 7:09,FALSE,Untitled,,11.37,933,1:48:46,--,--,9:34,7:32,14,16,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/20/2019 9:12,FALSE,Pittsburgh Running,,11.33,881,2:08:09,161,202,11:19,6:27,562,557,0.88,0,0,--,0,0,0,0:00,0,0:00,No,03:44.5,12,0
Running,3/7/2015 8:33,FALSE,Alameda Running,,11.3,927,1:51:20,--,--,9:51,7:54,19,23,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/4/2017 8:00,FALSE,Alameda Running,,11.29,889,1:46:35,180,197,9:26,7:18,6,13,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/25/2013 8:37,FALSE,Untitled,,11.23,946,1:46:16,--,--,9:28,6:12,124,123,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/19/2014 7:56,FALSE,Untitled,,11.2,911,1:39:55,--,--,8:55,6:31,274,287,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/21/2013 8:36,FALSE,Untitled,,11.17,941,1:49:20,--,--,9:48,6:35,99,146,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/4/2015 9:49,FALSE,Alameda Running,,11.12,919,1:49:22,140,195,9:50,7:51,17,20,1.17,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/16/2016 7:25,FALSE,Alameda Running,,11.1,909,1:48:08,180,193,9:45,7:27,15,15,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/11/2017 8:36,FALSE,Alameda Running,,11.07,874,2:08:52,147,199,11:38,8:07,3,10,0.94,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/8/2017 6:08,FALSE,Alameda Running,,11.05,881,1:46:40,177,195,9:39,7:12,12,13,0.94,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/2/2016 7:38,FALSE,Alameda Running,,11.04,897,1:42:14,179,195,9:16,5:10,15,12,0.97,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
